,Unnamed: 0,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt_x,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt_x,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N_x,PAYR_N,NAICS3,NAICS3Desc,Severity_MinWage,Severity_AllVltns,All_AtpAmt_y,ee_violtd_cnt_y,EMPL_N_y,Severity_AllVltns_MSA,Severity_AllVltns_CA,MSA_SeverityQuotient
0,0,12540.0,"Bakersfield, CA Metro Area",91,87200,0.0,29200,28960,80,0.0,0,0,0.0,0,0,0.0,0,1215237629.6,87120,1215237629.6,29200,,,,,,,,1397399000.88,149216,,,,
1,100,23420.0,"Fresno, CA Metro Area",91,0,0.0,83,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,83,,,,,,,,1397399000.88,149216,,,,
2,145,25260.0,"Hanford-Corcoran, CA Metro Area",91,7571,0.0,7437,7437,7571,10557811.09,7437,0,0.0,0,0,0.0,0,31673433.27,0,21115622.18,0,,,,,,,,1397399000.88,149216,,,,
3,167,31460.0,"Madera, CA Metro Area",91,1650,0.0,1350,1275,1425,1964279.25,1275,0,0.0,0,0,0.0,0,5892837.75,225,3928558.5,75,,,,,,,,1397399000.88,149216,,,,
4,272,37100.0,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",91,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,,,,,,,,1397399000.88,149216,,,,
5,360,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",91,5950,0.0,5355,5355,5950,4200581.0,5355,0,0.0,0,0,0.0,0,12543156.75,0,8342575.75,0,,,,,,,,1397399000.88,149216,,,,
6,447,40900.0,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",91,5865,0.0,6035,5525,5610,12867339.95,5525,0,0.0,0,0,0.0,0,38602019.85,255,25734679.9,510,,,,,,,,1397399000.88,149216,,,,
7,521,41500.0,"Salinas, CA Metro Area",91,1134,0.0,810,405,486,769769.73,405,0,0.0,0,0,0.0,0,2309309.19,648,1539539.46,405,,,,,,,,1397399000.88,149216,,,,
8,559,41740.0,"San Diego-Carlsbad, CA Metro Area",91,36890,0.0,32130,0,36890,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,32130,,,,,,,,1397399000.88,149216,,,,
9,639,41860.0,"San Francisco-Oakland-Hayward, CA Metro Area",91,60716,0.0,60458,60458,57018,24397488.78,56846,0,0.0,0,3698,16681.42,3612,73209147.76,0,48794977.56,0,,,,,,,,1397399000.88,149216,,,,
10,807,42020.0,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",91,1328,0.0,1328,166,1328,20821.38,166,0,0.0,0,0,0.0,0,62464.14,0,41642.76,1162,,,,,,,,1397399000.88,149216,,,,
11,841,42100.0,"Santa Cruz-Watsonville, CA Metro Area",91,0,0.0,82,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,82,,,,,,,,1397399000.88,149216,,,,
12,873,42220.0,"Santa Rosa, CA Metro Area",91,246,0.0,82,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,246,0.0,82,,,,,,,,1397399000.88,149216,,,,
13,918,44700.0,"Stockton-Lodi, CA Metro Area",91,252,0.0,168,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,252,0.0,168,,,,,,,,1397399000.88,149216,,,,
14,972,46700.0,"Vallejo-Fairfield, CA Metro Area",91,4860,0.0,4698,4698,4860,5956334.19,4698,0,0.0,0,0,0.0,0,17869002.57,0,11912668.38,0,,,,,,,,1397399000.88,149216,,,,
15,1,12540.0,"Bakersfield, CA Metro Area",93,160,0.0,80,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,160,0.0,80,,,,,,,,25438623.49,5600,,,,
16,273,37100.0,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",93,83,0.0,83,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,83,0.0,83,,,,,,,,25438623.49,5600,,,,
17,362,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",93,85,0.0,170,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,85,0.0,170,,,,,,,,25438623.49,5600,,,,
