,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N,PAYR_N,NAICS3,NAICS3Desc
0,12540.0,"Bakersfield, CA Metro Area",091,87200,0.0,29200,28960,80,0.0,0,0,0.0,0,0,0.0,0,1215237629.6,87120,1215237629.6,29200,,,,,
1,12540.0,"Bakersfield, CA Metro Area",093,160,0.0,80,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,160,0.0,80,,,,,
2,12540.0,"Bakersfield, CA Metro Area",096,1520,0.0,1520,1520,1520,2213497.6,1520,0,0.0,0,0,0.0,0,6640492.8,0,4426995.2,0,,,,,
3,12540.0,"Bakersfield, CA Metro Area",097,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,,,,,
4,12540.0,"Bakersfield, CA Metro Area",098,160,0.0,80,0,160,281454.4,0,0,0.0,0,0,0.0,0,844363.2,0,562908.8,80,,,,,
5,12540.0,"Bakersfield, CA Metro Area",111,64720,6320000.0,41360,26000,3840,3742415.2,1920,0,0.0,0,0,0.0,0,18463079.2,60880,14720664.0,39440,,,,,
6,12540.0,"Bakersfield, CA Metro Area",112,1680,1592000.0,640,560,0,0.0,0,0,0.0,0,0,0.0,0,495145.6,1680,495145.6,640,,,,,
7,12540.0,"Bakersfield, CA Metro Area",115,116320,11491000.0,86400,74720,14320,1796150.4,12640,0,0.0,0,0,0.0,0,17231396.8,102000,15435246.4,73760,58.0,4468.0,138716.0,115,Support Activities for Agriculture and Forestry
8,12540.0,"Bakersfield, CA Metro Area",221,240,0.0,80,80,240,27751.2,80,0,0.0,0,0,0.0,0,61502.4,0,33751.2,0,61.0,1356.0,127167.0,221,Utilities
9,12540.0,"Bakersfield, CA Metro Area",236,25280,0.0,11120,11120,160,0.0,0,0,0.0,0,0,0.0,0,37137210.4,25120,37137210.4,11120,266.0,3480.0,159732.0,236,Construction of Buildings
10,12540.0,"Bakersfield, CA Metro Area",237,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,87.0,4592.0,277690.0,237,Heavy and Civil Engineering Construction
11,12540.0,"Bakersfield, CA Metro Area",238,9360,0.0,9200,9200,6800,4731921.6,6640,0,0.0,0,0,0.0,0,28288180.8,2560,23556259.2,2560,705.0,7554.0,372026.0,238,Specialty Trade Contractors
12,12540.0,"Bakersfield, CA Metro Area",311,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,37.0,6024.0,255019.0,311,Food Manufacturing
13,12540.0,"Bakersfield, CA Metro Area",312,3840,696000.0,3520,3520,0,0.0,0,0,0.0,0,0,0.0,0,266956.8,3840,266956.8,3520,11.0,208.0,8166.0,312,Beverage and Tobacco Product Manufacturing
14,12540.0,"Bakersfield, CA Metro Area",326,160,0.0,80,80,160,39579.2,80,0,0.0,0,0,0.0,0,118737.6,0,79158.4,0,11.0,558.0,20734.0,326,Plastics and Rubber Products Manufacturing
15,12540.0,"Bakersfield, CA Metro Area",333,240,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,240,0.0,0,36.0,800.0,44904.0,333,Machinery Manufacturing
16,12540.0,"Bakersfield, CA Metro Area",334,9840,0.0,9840,9840,0,0.0,0,0,0.0,0,0,0.0,0,50232622.4,9840,50232622.4,9840,6.0,34.0,2031.0,334,Computer and Electronic Product Manufacturing
17,12540.0,"Bakersfield, CA Metro Area",336,560,0.0,240,240,80,0.0,0,0,0.0,0,0,0.0,0,2578697.6,480,2578697.6,240,24.0,0.0,0.0,336,Transportation Equipment Manufacturing
18,12540.0,"Bakersfield, CA Metro Area",423,1920,0.0,1760,0,1920,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1760,399.0,5807.0,364378.0,423,"Merchant Wholesalers, Durable Goods"
19,12540.0,"Bakersfield, CA Metro Area",424,39040,0.0,38640,38560,38880,3343768.8,38560,0,0.0,0,0,0.0,0,10031306.4,160,6687537.6,80,221.0,3389.0,187052.0,424,"Merchant Wholesalers, Nondurable Goods"
20,12540.0,"Bakersfield, CA Metro Area",442,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,63.0,544.0,13745.0,442,Furniture and Home Furnishings Stores
21,12540.0,"Bakersfield, CA Metro Area",443,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,86.0,847.0,16027.0,443,Electronics and Appliance Stores
22,12540.0,"Bakersfield, CA Metro Area",444,160,0.0,80,0,160,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,80,128.0,2628.0,71041.0,444,Building Material and Garden Equipment and Supplies Dealers
23,12540.0,"Bakersfield, CA Metro Area",445,1520,0.0,1360,1280,1440,2398402.4,1280,80,0.0,80,0,0.0,0,7195207.2,0,4796804.8,0,362.0,5995.0,134395.0,445,Food and Beverage Stores
