,MSA,MSADSCR,NAICS3,NAICS3Desc,MinWage_ATPAmt,BMW_Cases,cmp_assd_cnt,ESTB,MinWage_Cases,case_violtn_cnt,is_violator,ee_atp_cnt,All_ATPAmt,ChildLabor_EmpAff,ee_violtd_cnt,PAYR_N,MinWage_EmpAff,BMW_ATPAmt,BMW_EmpAff,EMPL_N,Other_ATPAmt,Other_Cases,Other_EmpAff,ChildLabor_ATPAmt,ChildLabor_Cases,All_AtpAmt,num_investigations,km_cluster,MW_Vltn_Svrty,BMW_Vltn_Svrty,CL_Vltn_Svrty,OTHER_Vltn_Svrty,OVERALL_Vltn_Svrty
0,12540.0,"Bakersfield, CA Metro Area",115,Support Activities for Agriculture and Forestry,22451.88,0,143637.5,58.0,179,1454,54,934,215392.46,0,1080,138716.0,158,0.0,0,4468.0,192940.58,1275,922,0.0,0,215392.46,70,0,793.956365264,0.0,0.0,39814.5064369,52064.4263205
1,12540.0,"Bakersfield, CA Metro Area",221,Utilities,346.89,0,0.0,61.0,3,3,1,1,768.78,0,1,127167.0,1,0.0,0,1356.0,421.89,0,0,0.0,0,768.78,2,0,0.255818584071,0.0,0.0,0.0,0.566946902655
2,12540.0,"Bakersfield, CA Metro Area",236,Construction of Buildings,0.0,0,0.0,266.0,2,316,5,139,464215.13,0,139,159732.0,0,0.0,0,3480.0,464215.13,314,139,0.0,0,464215.13,10,0,0.0,0.0,0.0,18541.9261695,18541.9261695
3,12540.0,"Bakersfield, CA Metro Area",237,Heavy and Civil Engineering Construction,0.0,0,0.0,87.0,0,0,0,0,0.0,0,0,277690.0,0,0.0,0,4592.0,0.0,0,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
4,12540.0,"Bakersfield, CA Metro Area",238,Specialty Trade Contractors,59149.02,0,0.0,705.0,85,117,3,115,353602.26,0,115,372026.0,83,0.0,0,7554.0,294453.24,32,32,0.0,0,353602.26,18,0,649.903185068,0.0,0.0,1247.35288324,5383.14269261
5,12540.0,"Bakersfield, CA Metro Area",311,Food Manufacturing,0.0,0,0.0,37.0,0,0,0,0,0.0,0,0,255019.0,0,0.0,0,6024.0,0.0,0,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
6,12540.0,"Bakersfield, CA Metro Area",312,Beverage and Tobacco Product Manufacturing,0.0,0,8700.0,11.0,0,48,1,44,3336.96,0,44,8166.0,0,0.0,0,208.0,3336.96,48,44,0.0,0,3336.96,1,0,0.0,0.0,0.0,705.895384615,705.895384615
7,12540.0,"Bakersfield, CA Metro Area",326,Plastics and Rubber Products Manufacturing,494.74,0,0.0,11.0,2,2,1,1,1484.22,0,1,20734.0,1,0.0,0,558.0,989.48,0,0,0.0,0,1484.22,1,0,0.886630824373,0.0,0.0,0.0,2.65989247312
8,12540.0,"Bakersfield, CA Metro Area",333,Machinery Manufacturing,0.0,0,0.0,36.0,0,3,1,0,0.0,0,0,44904.0,0,0.0,0,800.0,0.0,3,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
9,12540.0,"Bakersfield, CA Metro Area",334,Computer and Electronic Product Manufacturing,0.0,0,0.0,6.0,0,123,1,123,627907.78,0,123,2031.0,0,0.0,0,34.0,627907.78,123,123,0.0,0,627907.78,1,0,0.0,0.0,0.0,2271548.73353,2271548.73353
10,12540.0,"Bakersfield, CA Metro Area",336,Transportation Equipment Manufacturing,0.0,0,0.0,24.0,1,7,1,3,32233.72,0,3,0.0,0,0.0,0,0.0,32233.72,6,3,0.0,0,32233.72,1,0,,,,inf,inf
11,12540.0,"Bakersfield, CA Metro Area",423,"Merchant Wholesalers, Durable Goods",0.0,0,0.0,399.0,24,24,2,0,0.0,0,22,364378.0,0,0.0,0,5807.0,0.0,0,22,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
12,12540.0,"Bakersfield, CA Metro Area",424,"Merchant Wholesalers, Nondurable Goods",41797.11,0,0.0,221.0,486,488,3,482,125391.33,0,483,187052.0,482,0.0,0,3389.0,83594.22,2,1,0.0,0,125391.33,3,0,5944.58749484,0.0,0.0,24.6663381528,17870.7619917
13,12540.0,"Bakersfield, CA Metro Area",442,Furniture and Home Furnishings Stores,0.0,0,0.0,63.0,0,0,0,0,0.0,0,0,13745.0,0,0.0,0,544.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
14,12540.0,"Bakersfield, CA Metro Area",443,Electronics and Appliance Stores,0.0,0,0.0,86.0,0,0,0,0,0.0,0,0,16027.0,0,0.0,0,847.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
15,12540.0,"Bakersfield, CA Metro Area",444,Building Material and Garden Equipment and Supplies Dealers,0.0,0,0.0,128.0,2,2,1,0,0.0,0,1,71041.0,0,0.0,0,2628.0,0.0,0,1,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
16,12540.0,"Bakersfield, CA Metro Area",445,Food and Beverage Stores,29980.03,0,0.0,362.0,18,19,4,16,89940.09,1,17,134395.0,16,0.0,0,5995.0,59960.06,0,0,0.0,1,89940.09,8,0,80.0134245204,0.0,0.0,0.0,255.042790659
17,12540.0,"Bakersfield, CA Metro Area",447,Gasoline Stations,1762.43,0,0.0,231.0,10,10,3,6,5287.29,0,6,51900.0,6,0.0,0,2335.0,3524.86,0,0,0.0,0,5287.29,4,0,4.52872805139,0.0,0.0,0.0,13.5861841542
18,12540.0,"Bakersfield, CA Metro Area",448,Clothing and Clothing Accessories Stores,0.0,0,0.0,198.0,0,0,0,0,0.0,0,0,35821.0,0,0.0,0,2476.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
19,12540.0,"Bakersfield, CA Metro Area",452,General Merchandise Stores,0.0,0,0.0,102.0,0,0,0,0,0.0,0,0,122155.0,0,0.0,0,5678.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
20,12540.0,"Bakersfield, CA Metro Area",481,Air Transportation,0.0,0,0.0,10.0,0,25,1,25,140232.22,0,25,1569.0,0,0.0,0,42.0,140232.22,25,25,0.0,0,140232.22,1,0,0.0,0.0,0.0,83471.5595238,83471.5595238
21,12540.0,"Bakersfield, CA Metro Area",484,Truck Transportation,185526.85,0,0.0,283.0,43,84,6,46,577053.95,0,64,216613.0,39,0.0,0,4010.0,391527.1,41,25,0.0,0,577053.95,15,0,1804.37584788,0.0,0.0,2440.94201995,9209.83860349
22,12540.0,"Bakersfield, CA Metro Area",485,Transit and Ground Passenger Transportation,0.0,0,0.0,14.0,0,2,1,1,2186.08,0,1,0.0,0,0.0,0,0.0,2186.08,2,1,0.0,0,2186.08,1,0,,,,inf,inf
23,12540.0,"Bakersfield, CA Metro Area",488,Support Activities for Transportation,27379.61,0,0.0,65.0,24,24,3,20,82138.83,0,20,27581.0,20,0.0,0,668.0,54759.22,0,0,0.0,0,82138.83,3,0,819.748802395,0.0,0.0,0.0,2459.24640719
24,12540.0,"Bakersfield, CA Metro Area",492,Couriers and Messengers,2621.71,0,0.0,26.0,5,5,1,3,7269.93,0,3,25077.0,3,0.0,0,606.0,4648.22,0,0,0.0,0,7269.93,1,0,12.9787623762,0.0,0.0,0.0,35.9897524752
25,12540.0,"Bakersfield, CA Metro Area",517,Telecommunications,0.0,0,0.0,69.0,0,2,2,0,0.0,0,2,67426.0,0,0.0,0,1284.0,0.0,2,2,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
26,12540.0,"Bakersfield, CA Metro Area",522,Credit Intermediation and Related Activities,0.0,0,0.0,265.0,0,0,0,0,0.0,0,0,127738.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,,,,,
27,12540.0,"Bakersfield, CA Metro Area",524,Insurance Carriers and Related Activities,19359.89,0,7854.0,262.0,31,31,4,22,55235.04,0,22,220544.0,22,0.0,0,3348.0,35875.15,0,0,0.0,0,55235.04,4,0,127.215525687,0.0,0.0,0.0,362.954265233
28,12540.0,"Bakersfield, CA Metro Area",525,"Funds, Trusts, and Other Financial Vehicles",2025.62,0,0.0,3.0,2,2,1,1,6076.86,0,1,63.0,1,0.0,0,0.0,4051.24,0,0,0.0,0,6076.86,1,0,inf,,,,inf
29,12540.0,"Bakersfield, CA Metro Area",531,Real Estate,4912.12,0,0.0,498.0,8,8,1,6,13563.36,0,6,63614.0,6,0.0,0,1985.0,8651.24,0,0,0.0,0,13563.36,2,0,14.8477178841,0.0,0.0,0.0,40.9975617128
30,12540.0,"Bakersfield, CA Metro Area",532,Rental and Leasing Services,0.0,0,0.0,144.0,0,0,0,0,0.0,0,0,96279.0,0,0.0,0,1723.0,0.0,0,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
31,12540.0,"Bakersfield, CA Metro Area",541,"Professional, Scientific, and Technical Services",0.0,0,0.0,1266.0,0,0,0,0,0.0,0,0,693236.0,0,0.0,0,12859.0,0.0,0,0,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
32,12540.0,"Bakersfield, CA Metro Area",551,Management of Companies and Enterprises,0.0,0,0.0,73.0,0,2,1,2,58324.24,0,2,289596.0,0,0.0,0,2526.0,58324.24,2,2,0.0,0,58324.24,1,0,0.0,0.0,0.0,46.1791290578,46.1791290578
33,12540.0,"Bakersfield, CA Metro Area",561,Administrative and Support Services,21669.86,0,0.0,533.0,45,48,5,43,65725.98,0,44,332093.0,42,0.0,0,10454.0,44056.12,3,2,0.0,0,65725.98,11,0,87.0608494356,0.0,0.0,8.42856705567,276.635079395
34,12540.0,"Bakersfield, CA Metro Area",562,Waste Management and Remediation Services,0.0,0,0.0,66.0,0,7,1,7,1831.74,0,7,66633.0,0,0.0,0,1166.0,1831.74,7,7,0.0,0,1831.74,1,0,0.0,0.0,0.0,10.9967238422,10.9967238422
35,12540.0,"Bakersfield, CA Metro Area",611,Educational Services,1788.9,0,0.0,162.0,2,2,1,1,2683.35,0,1,67225.0,1,0.0,0,2453.0,894.45,0,0,0.0,0,2683.35,2,0,0.729270281288,0.0,0.0,0.0,1.09390542193
36,12540.0,"Bakersfield, CA Metro Area",621,Ambulatory Health Care Services,46666.42,0,0.0,1131.0,25,25,3,22,139999.26,0,22,564306.0,22,0.0,0,11167.0,93332.84,0,0,0.0,0,139999.26,3,0,91.9370681472,0.0,0.0,0.0,275.811204442
37,12540.0,"Bakersfield, CA Metro Area",622,Hospitals,0.0,0,0.0,14.0,0,0,0,0,0.0,0,0,576750.0,0,0.0,0,9197.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
38,12540.0,"Bakersfield, CA Metro Area",623,Nursing and Residential Care Facilities,4954.44,0,3179.0,161.0,17,17,3,17,14863.32,0,17,119553.0,17,0.0,0,5293.0,9908.88,0,0,0.0,0,14863.32,4,0,15.9126166635,0.0,0.0,0.0,47.7378499906
39,12540.0,"Bakersfield, CA Metro Area",624,Social Assistance,5272.29,84,0.0,236.0,4,94,3,87,51175.94,0,87,78369.0,3,9688.67,84,3842.0,36214.98,6,0,0.0,0,51175.94,3,0,4.11683237897,211.829328475,0.0,0.0,1158.85132223
40,12540.0,"Bakersfield, CA Metro Area",712,"Museums, Historical Sites, and Similar Institutions",4528.77,0,0.0,8.0,5,5,1,3,8257.53,0,3,1399.0,3,0.0,0,67.0,3728.76,0,0,0.0,0,8257.53,1,0,202.780746269,0.0,0.0,0.0,369.740149254
41,12540.0,"Bakersfield, CA Metro Area",713,"Amusement, Gambling, and Recreation Industries",0.0,0,0.0,98.0,0,0,0,0,0.0,0,0,43759.0,0,0.0,0,2475.0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
