,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('1131', 'Timber Tract Operations')",1131,Timber Tract Operations,0.0,0.0,9,1572,1668,7804,358394,2173256,,1.15325474116,
"('11311', 'Timber Tract Operations')",11311,Timber Tract Operations,0.0,0.0,28,1572,1668,7804,358394,2173256,,3.58790363916,
"('113110', 'Timber Tract Operations')",113110,Timber Tract Operations,0.0,0.0,40,1572,1668,7804,358394,2173256,,5.12557662737,
"('1132', 'Forest Nurseries and Gathering of Forest Products')",1132,Forest Nurseries and Gathering of Forest Products,0.0,0.0,8,671,785,6836,202391,970712,,1.17027501463,
"('11321', 'Forest Nurseries and Gathering of Forest Products')",11321,Forest Nurseries and Gathering of Forest Products,0.0,0.0,24,671,785,6836,202391,970712,,3.51082504389,
"('113210', 'Forest Nurseries and Gathering of Forest Products')",113210,Forest Nurseries and Gathering of Forest Products,0.0,0.0,78,671,785,6836,202391,970712,,11.4101813926,
"('1133', 'Logging')",1133,Logging,0.0,0.0,3,38413,38617,215236,7196249,37537419,,0.0139381887788,
"('11331', 'Logging')",11331,Logging,0.0,0.0,13,38413,38617,215236,7196249,37537419,,0.0603988180416,
"('113310', 'Logging')",113310,Logging,0.0,0.0,89,38413,38617,215236,7196249,37537419,,0.413499600439,
"('1141', 'Fishing')",1141,Fishing,11000.0,1.0,1,8158,8182,16328,902139,7645554,0.673689367957,0.0612444879961,11.0
"('11411', 'Fishing')",11411,Fishing,0.0,0.0,3,8158,8182,16328,902139,7645554,,0.183733463988,
"('114111', 'Finfish Fishing')",114111,Finfish Fishing,0.0,0.0,3,4386,4407,10248,647728,5564221,,0.292740046838,
"('114112', 'Shellfish Fishing')",114112,Shellfish Fishing,2055.34,6.5,6,3720,3723,5429,228810,1986758,0.378585374839,1.10517590717,0.342556666667
"('114119', 'Other Marine Fishing')",114119,Other Marine Fishing,6891.33,1.0,5,52,52,330,14358,126579,20.8828181818,15.1515151515,1.378266
"('11421', 'Hunting and Trapping')",11421,Hunting and Trapping,44797.12,98.0,1,1293,1293,6451,191283,766379,6.94421330026,0.155014726399,44.79712
"('114210', 'Hunting and Trapping')",114210,Hunting and Trapping,0.0,0.0,11,1293,1293,6451,191283,766379,,1.70516199039,
"('1151', 'Support Activities for Crop Production')",1151,Support Activities for Crop Production,0.0,0.0,39,16585,17410,193353,5842369,31270274,,0.201703619804,
"('11511', 'Support Activities for Crop Production')",11511,Support Activities for Crop Production,0.0,0.0,145,16585,17410,193353,5842369,31270274,,0.749923714657,
"('115111', 'Cotton Ginning')",115111,Cotton Ginning,59.0,1.0,277,1012,1055,8808,327381,2126847,0.00669845594914,31.4486830154,0.000212996389892
"('115112', 'Soil Preparation, Planting, and Cultivating')",115112,"Soil Preparation, Planting, and Cultivating",0.0,0.0,78,7851,7988,37220,1377211,8187553,,2.09564750134,
"('115113', 'Crop Harvesting, Primarily by Machine')",115113,"Crop Harvesting, Primarily by Machine",0.0,0.0,92,1211,1217,7176,227467,1577445,,12.8205128205,
"('115114', 'Postharvest Crop Activities (except Cotton Ginning)')",115114,Postharvest Crop Activities (except Cotton Ginning),0.0,0.0,202,3013,3522,96182,2846053,14668020,,2.10018506581,
"('115115', 'Farm Labor Contractors and Crew Leaders')",115115,Farm Labor Contractors and Crew Leaders,0.0,0.0,4199,1616,1628,29948,567643,2529941,,140.209696808,
"('115116', 'Farm Management Services')",115116,Farm Management Services,0.0,0.0,155,1929,2000,11989,454935,1817968,,12.928517808,
"('1152', 'Support Activities for Animal Production')",1152,Support Activities for Animal Production,0.0,0.0,2,17073,17259,72227,1912363,8420364,,0.0276904758608,
"('11521', 'Support Activities for Animal Production')",11521,Support Activities for Animal Production,291.4,0.5,14,17073,17259,72227,1912363,8420364,0.00403450233292,0.193833331026,0.0208142857143
"('115210', 'Support Activities for Animal Production')",115210,Support Activities for Animal Production,0.0,0.0,32,17073,17259,72227,1912363,8420364,,0.443047613773,
"('1153', 'Support Activities for Forestry')",1153,Support Activities for Forestry,0.0,0.0,8,6533,6750,39294,1314454,4156216,,0.203593423932,
"('11531', 'Support Activities for Forestry')",11531,Support Activities for Forestry,0.0,0.0,50,6533,6750,39294,1314454,4156216,,1.27245889958,
"('115310', 'Support Activities for Forestry')",115310,Support Activities for Forestry,0.0,0.0,243,6533,6750,39294,1314454,4156216,,6.18415025195,
"('2111', 'Oil and Gas Extraction')",2111,Oil and Gas Extraction,45.0,1.0,19,25315,27625,362657,23822469,527998578,0.000124084189744,0.0523911023364,0.00236842105263
"('21111', 'Oil and Gas Extraction')",21111,Oil and Gas Extraction,0.0,0.0,101,25315,27625,362657,23822469,527998578,,0.278500070314,
"('211111', 'Crude Petroleum and Natural Gas Extraction')",211111,Crude Petroleum and Natural Gas Extraction,2813.98,1.0,133,24936,26795,343364,22458309,445669128,0.0081953262427,0.387344043056,0.0211577443609
"('211112', 'Natural Gas Liquid Extraction')",211112,Natural Gas Liquid Extraction,0.0,0.0,71,453,830,18988,1344555,82111468,,3.7392037076,
"('2121', 'Coal Mining')",2121,Coal Mining,0.0,0.0,4,2376,3257,184956,11300287,74800713,,0.0216267652847,
"('21211', 'Coal Mining')",21211,Coal Mining,0.0,0.0,11,2376,3257,184956,11300287,74800713,,0.059473604533,
"('212111', 'Bituminous Coal and Lignite Surface Mining')",212111,Bituminous Coal and Lignite Surface Mining,0.0,0.0,12,1352,1761,89488,5398557,40734827,,0.134096191668,
"('212112', 'Bituminous Coal Underground Mining')",212112,Bituminous Coal Underground Mining,0.0,0.0,17,845,1213,90573,5656646,32908299,,0.187693904364,
"('2122', 'Metal Ore Mining')",2122,Metal Ore Mining,33500.17,31.5,2,935,1075,75736,4915654,49488200,0.442328219077,0.0264075208619,16.750085
"('21222', 'Gold Ore and Silver Ore Mining')",21222,Gold Ore and Silver Ore Mining,0.0,0.0,7,525,569,29492,1800509,13714432,,0.237352502374,
"('212221', 'Gold Ore Mining')",212221,Gold Ore Mining,0.0,0.0,6,496,534,27432,1696769,12968342,,0.218722659668,
"('212222', 'Silver Ore Mining')",212222,Silver Ore Mining,0.0,0.0,1,32,35,1962,98053,733173,,0.509683995923,
"('21223', 'Copper, Nickel, Lead, and Zinc Mining')",21223,"Copper, Nickel, Lead, and Zinc Mining",0.0,0.0,1,130,166,25515,1599501,24220411,,0.0391926317852,
"('212234', 'Copper Ore and Nickel Ore Mining')",212234,Copper Ore and Nickel Ore Mining,0.0,0.0,1,89,109,20945,1254533,19541893,,0.0477440916687,
"('21229', 'Other Metal Ore Mining')",21229,Other Metal Ore Mining,599636.3,374.5,2,221,254,9541,689621,4405750,62.8483701918,0.209621632953,299.81815
"('212299', 'All Other Metal Ore Mining')",212299,All Other Metal Ore Mining,0.0,0.0,5,117,132,7605,566103,3528107,,0.657462195924,
"('2123', 'Nonmetallic Mineral Mining and Quarrying')",2123,Nonmetallic Mineral Mining and Quarrying,2506.25,0.5,4,13111,17832,273286,12109574,68853471,0.00917079543043,0.0146366809862,0.6265625
"('21231', 'Stone Mining and Quarrying')",21231,Stone Mining and Quarrying,472.29,1.0,22,5402,8174,142971,6252144,35908964,0.00330339719244,0.153877359744,0.0214677272727
"('212311', 'Dimension Stone Mining and Quarrying')",212311,Dimension Stone Mining and Quarrying,2221.5,1.5,24,1605,1677,16078,557215,1955218,0.138170170419,1.49272297549,0.0925625
"('212312', 'Crushed and Broken Limestone Mining and Quarrying')",212312,Crushed and Broken Limestone Mining and Quarrying,21456.03,6.5,12,2022,3912,82817,3680402,22226338,0.25907760484,0.144897786686,1.7880025
"('212313', 'Crushed and Broken Granite Mining and Quarrying')",212313,Crushed and Broken Granite Mining and Quarrying,13700.82,3.0,11,448,893,18979,932522,6487578,0.721893671953,0.579587965646,1.24552909091
"('212319', 'Other Crushed and Broken Stone Mining and Quarrying')",212319,Other Crushed and Broken Stone Mining and Quarrying,122.97,1.0,31,1452,1692,25097,1082005,5239830,0.00489978881938,1.23520739531,0.00396677419355
"('21232', 'Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying')",21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",3861.0,2.0,13,7044,8652,106532,4591490,24234975,0.036242631322,0.12202906169,0.297
